gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,1,13,1,2,0,0,0,0,0,2,0,1,1,2,92.38704752029142,1186.267624805271,0
0,1,1,0,2,1,2,0,2,2,2,0,0,2,1,1,2,111.59107136217476,228.88845492311688,1
0,0,1,1,23,1,2,1,0,0,2,0,0,0,2,1,2,65.48006011471425,1512.7964204474854,0
1,0,0,0,16,1,2,0,0,0,0,0,2,2,1,0,2,100.67317851451355,1606.6657516039804,0
1,0,1,0,5,1,0,2,1,1,1,1,1,1,0,0,0,36.573266979131894,173.22433454853552,1
0,0,1,1,17,1,0,1,0,0,0,0,0,2,2,1,0,98.34200155905933,1658.6058833622922,0
0,1,1,1,33,1,0,0,2,2,0,0,2,0,0,1,1,103.21918304196245,3401.7860025962605,0
1,0,1,1,7,1,0,2,1,1,1,1,1,1,0,1,2,35.58199235765537,252.57403786965975,0
1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,3,40.62016299046114,1257.644470946623,0
0,0,0,0,10,1,0,1,0,2,0,0,2,0,1,1,1,103.3803712724234,1027.6943818416023,0
0,0,0,0,37,1,2,1,0,2,0,0,0,0,0,1,3,71.05682750657846,2616.611051429894,0
1,0,1,1,11,1,0,1,0,0,0,0,0,2,1,0,3,78.77525504591495,870.0349680889474,1
1,0,1,0,3,1,0,1,2,0,0,2,0,2,0,0,0,99.62482761148965,309.5399073041635,1
0,0,0,0,16,1,0,0,0,2,0,0,2,2,2,0,2,85.37051338313388,1356.6589944097973,0
0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,1,3,72.26332862240213,1449.7508620895298,1
1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,91.41093703645038,1169.5474290347508,1
0,0,1,1,31,1,0,2,1,1,1,1,1,1,1,0,1,39.6420979207108,1222.3303744526224,0
1,1,0,1,11,1,0,0,0,2,0,2,2,2,1,0,2,134.3340043642199,1484.9700892015767,0
0,1,1,1,31,1,0,1,0,0,0,0,0,2,0,0,3,88.57528576490257,2734.6561866180837,1
0,0,0,0,32,1,0,0,0,2,2,2,0,0,1,1,3,87.50252551829234,2794.036449337231,0
1,0,1,0,1,1,2,0,0,0,2,0,2,2,0,1,3,87.13187066062837,101.31153894499536,1
1,0,1,0,5,1,0,2,1,1,1,1,1,1,0,0,0,38.945090220601465,187.3970113004819,1
1,0,0,0,37,1,0,0,2,2,0,2,0,0,1,0,3,69.9980164948316,2581.3871621164767,0
1,0,0,0,12,1,2,2,1,1,1,1,1,1,2,1,2,39.04201177610502,474.26262493256695,1
1,1,0,0,22,1,2,2,1,1,1,1,1,1,0,1,3,32.121050931658154,726.2104561280323,0
0,1,1,1,15,1,0,1,2,0,0,0,2,0,1,0,3,108.17503025833773,1620.2287544021247,0
0,0,0,1,30,1,0,1,0,0,0,2,2,0,1,0,2,79.93694189930218,2405.7956155822517,0
0,0,0,1,0,1,0,0,0,2,2,0,2,0,1,0,1,81.09870265664716,13.457691801150062,0
0,0,0,0,8,1,0,1,0,2,0,0,2,0,0,0,0,87.21751386539168,700.9956325519391,1
1,0,1,0,1,1,0,0,2,2,0,0,0,0,2,1,2,69.97900088832921,67.27982187647861,0
1,1,0,0,15,1,0,1,2,0,0,0,0,0,2,1,1,106.77886546579444,1592.9197146006616,0
1,1,0,0,25,1,0,1,0,0,0,0,2,0,0,1,2,93.46773602339776,2322.4412909757334,1
0,1,1,1,11,1,2,0,2,2,0,0,2,2,0,1,2,94.22107376097298,1047.548828821741,1
0,0,0,1,8,1,0,1,0,0,2,0,0,2,1,1,3,110.9800786667637,889.6502007915285,0
0,0,0,1,2,1,0,1,0,2,0,0,2,0,0,1,0,85.77955979831479,184.8871290208589,1
0,0,1,0,25,1,0,0,2,0,2,2,0,0,0,0,2,70.97831661802911,1784.3471686142248,0
0,0,1,0,15,1,2,0,0,0,2,0,0,0,0,1,2,90.85284827245167,1356.6230188864988,1
0,0,1,0,21,1,2,1,2,0,0,2,0,0,2,1,0,96.17437064581867,2007.7929165631886,0
1,0,0,0,20,1,2,2,1,1,1,1,1,1,0,1,0,34.70237364385887,698.1741687065465,1
0,0,1,0,15,1,2,2,1,1,1,1,1,1,2,1,0,34.21713705394385,506.93198696574564,0
1,0,1,0,15,1,2,1,0,2,0,0,2,0,0,0,1,78.87035327413432,1186.822190522022,0
0,0,0,0,8,1,2,2,1,1,1,1,1,1,0,0,3,38.90955650927742,303.9649326976053,1
0,0,0,1,24,1,2,1,0,0,0,0,0,0,0,0,1,103.64305029377724,2478.8209545186805,1
0,0,1,1,22,1,0,0,2,0,0,0,0,0,1,1,3,104.53272735205138,2298.3100936497235,0
0,1,0,0,16,1,0,1,2,0,0,0,0,0,0,1,1,63.71572773397993,1028.7926499477587,1
1,0,1,0,16,1,2,1,2,0,0,0,0,0,2,1,2,93.91028067954552,1505.6298898258642,1
1,0,0,0,3,1,0,1,0,0,2,0,0,2,2,0,1,77.69959357029764,244.88253219761074,1
0,0,0,0,14,1,2,1,0,2,0,0,0,0,1,1,1,90.82070973050438,1259.1543191965088,1
0,1,0,0,3,1,2,1,0,2,2,2,2,2,2,1,0,93.5282492416369,270.0139763095877,1
0,0,0,0,25,1,0,1,0,0,2,0,0,0,0,0,3,76.00568420326658,1899.2504680900613,1
1,0,0,1,32,1,2,1,0,2,0,0,0,2,0,0,0,94.98833210572913,3061.283641216263,0
0,0,0,0,2,1,0,1,0,2,0,0,2,0,1,1,1,94.91599033436584,196.57484180435543,1
0,0,1,1,15,1,2,2,1,1,1,1,1,1,0,1,3,34.535411441953954,507.36504420886195,0
1,0,0,0,14,1,2,1,0,0,0,0,0,2,1,1,1,97.91626165726414,1370.066258672121,0
0,0,1,0,12,0,1,1,0,2,0,0,0,0,0,1,0,57.593043120389474,693.3236653526862,0
0,0,1,0,23,1,2,1,0,0,0,0,0,0,0,0,3,77.00388890393435,1765.40258733488,1
1,0,1,0,23,0,1,1,0,0,2,0,0,2,0,1,3,88.97256775144051,2052.501808193697,0
0,0,1,0,18,1,0,0,0,0,2,0,2,0,0,1,3,93.50856622571652,1681.5897306812494,1
0,0,0,0,3,1,2,0,0,0,0,0,0,0,2,1,1,94.99931107182013,282.0046260333637,0
1,0,1,0,19,1,0,1,2,0,0,2,0,0,2,0,2,96.58799706293148,1847.774512067623,0
1,0,1,1,17,1,0,1,2,0,2,0,0,0,0,1,1,83.01077055960452,1394.0864904916739,1
0,0,1,0,22,1,0,1,0,2,0,0,2,2,1,0,2,106.17194250721545,2326.164681740893,1
0,0,0,0,16,1,2,0,0,0,0,0,0,2,0,0,2,66.63995484444035,1058.0661876966378,1
1,0,0,0,30,1,0,1,0,2,0,0,2,2,2,1,2,114.9594940089405,3440.308009568228,1
0,0,0,0,20,1,0,1,0,0,2,0,2,0,1,0,3,105.71538649142597,2107.0201993756054,1
1,1,1,1,31,1,0,1,2,2,0,2,0,2,0,1,0,92.27093656458133,2865.2837930809296,0
1,0,1,0,17,1,2,1,0,0,2,0,2,2,0,1,3,113.54949443808174,1941.3067337314928,1
0,0,0,1,23,0,1,1,0,0,0,2,0,2,2,1,0,93.65968369080481,2163.33313749507,1
0,0,1,1,23,1,2,1,0,0,2,0,0,0,2,1,2,63.467127380484065,1449.5483084858433,0
0,1,0,0,5,1,2,0,0,0,0,2,0,0,2,1,0,63.33538181001829,315.60273006439274,0
1,0,0,0,39,1,0,1,0,0,0,2,2,0,1,1,3,85.64201438051717,3344.5612129749175,0
0,0,0,0,29,1,0,0,0,0,0,2,0,2,0,0,2,80.45163860995713,2335.497549211611,1
1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,73.58534602322392,13.057473995092346,1
0,0,1,0,4,1,2,0,0,0,0,0,2,0,1,0,2,93.94141594190803,369.012321412192,0
0,0,1,1,32,1,2,2,1,1,1,1,1,1,0,1,1,29.704129126842965,952.095326269983,0
1,0,0,0,7,1,0,0,0,0,0,0,2,2,0,1,1,106.23962105855965,739.7450402608566,1
1,0,1,1,24,1,0,1,0,0,0,0,0,2,0,1,1,92.56217535299876,2224.0029586628652,0
1,0,0,0,30,1,0,1,0,0,2,2,0,0,0,1,0,67.21793632491215,2005.7491206204675,1
0,0,0,1,18,1,0,1,2,0,2,0,0,2,1,1,1,96.68918441735876,1731.1159423028819,1
0,1,1,1,19,1,0,1,0,0,0,0,0,2,0,0,2,101.23709356167261,1916.2036690738946,1
1,0,1,1,4,1,0,2,1,1,1,1,1,1,2,0,2,29.32685269467025,111.67071766713053,0
1,0,1,0,32,0,1,0,0,0,0,2,0,2,1,1,2,62.33675086714222,2010.2552604048788,0
1,0,0,0,13,1,0,2,1,1,1,1,1,1,2,1,3,30.36330762016375,406.477018205083,0
1,0,1,0,5,1,0,2,1,1,1,1,1,1,1,0,2,40.57996672960766,200.77333694089887,0
1,0,1,1,25,1,2,1,0,0,2,0,2,0,2,1,2,106.00375942736842,2651.8233186263055,0
1,0,1,1,34,1,0,0,0,0,2,0,0,2,0,1,2,103.5857545575334,3505.9712947750318,0
1,0,1,0,37,1,0,2,1,1,1,1,1,1,2,1,0,38.12319404388761,1408.7652561583268,0
1,0,0,0,0,1,0,1,0,2,0,0,2,0,2,0,1,88.24047014572045,1.5961471331172736,1
0,0,1,1,2,0,1,0,0,0,2,0,0,2,0,0,2,75.8089233149604,163.07468876393304,1
0,0,1,0,8,1,2,0,0,0,0,2,0,0,2,1,3,68.03033535307935,547.5107300213845,0
0,0,0,1,10,1,0,2,1,1,1,1,1,1,0,1,3,36.04532997378328,364.78220032558835,0
0,0,0,0,4,1,2,1,0,0,0,0,2,0,1,1,2,106.77274990436052,430.06862851494674,0
1,0,0,1,29,1,2,1,0,2,0,0,2,2,0,0,2,102.29934575857575,2969.371038895418,1
1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,1,3,32.328172349241726,-13.967591759349755,1
1,0,0,0,0,1,0,1,0,0,2,0,2,0,2,1,2,115.66343494782373,-4.167576683403004,1
1,1,0,0,35,1,2,0,0,0,0,0,0,2,2,0,2,104.19620431312401,3661.216018944756,0
1,0,1,0,9,1,0,1,0,0,2,0,2,0,0,1,2,94.07810872465294,854.9419429479689,1
1,0,1,1,14,1,2,1,0,2,0,0,0,0,0,1,0,79.30834957913525,1115.259239098545,1
0,0,0,1,36,1,0,1,0,2,0,2,2,0,2,1,3,110.73408713770867,3987.094290049753,0
1,0,0,0,6,1,2,1,0,0,2,0,0,0,0,0,2,88.28230893519347,536.2882675686175,1
1,0,1,1,13,1,0,2,1,1,1,1,1,1,1,0,1,36.25512256251446,461.8676992231598,0
1,1,1,0,32,1,2,1,0,2,2,2,2,0,1,0,3,95.59380810134925,3043.2012636230384,0
1,0,0,0,37,1,0,1,0,0,0,2,0,2,1,0,2,96.50521543679925,3566.8721056392224,0
1,0,1,0,13,1,2,2,1,1,1,1,1,1,2,0,3,43.74409579830119,574.0524759551532,0
0,0,1,0,36,1,0,2,1,1,1,1,1,1,0,1,3,34.30055907728291,1235.898425604871,0
1,0,1,0,23,1,0,1,0,0,0,2,0,0,0,1,3,70.20888157931282,1624.9438631126443,1
0,0,1,0,26,1,0,1,0,0,0,0,2,2,0,0,3,85.06348527808268,2215.165122395754,0
0,0,0,1,30,1,0,1,0,0,0,2,2,0,1,0,2,77.1827845454408,2315.9319583253673,0
0,0,1,1,17,1,0,1,2,2,2,0,2,0,0,1,0,79.28133816777255,1361.0575983922895,1
0,0,1,0,23,1,2,1,0,0,0,0,0,0,0,0,3,73.57047405545026,1703.4446610599307,1
0,0,0,0,16,1,2,0,0,0,0,0,0,2,0,0,2,63.77406771697622,1019.4041704594251,1
0,0,0,0,24,1,0,0,0,2,2,2,0,2,0,1,2,110.11333472150316,2631.689534705915,1
1,1,1,1,33,1,2,0,2,0,2,0,2,0,0,0,3,111.63585332686361,3674.909544863944,1
0,0,0,0,14,1,2,1,0,2,0,0,0,0,1,0,1,96.45327295655049,1348.7313100088654,1
0,0,1,1,0,0,1,0,0,0,2,0,0,0,2,0,1,71.65836409941258,-3.6681138365245114,0
0,0,0,0,15,1,2,0,2,0,0,2,2,0,0,1,3,109.07713791766598,1652.734692063796,1
1,0,0,0,24,1,0,2,1,1,1,1,1,1,0,0,2,32.23858744604755,756.9247572156951,0
0,0,1,0,14,1,0,0,0,0,2,0,0,0,0,1,1,73.59556508485946,1029.6953333191402,1
0,0,0,0,24,1,0,1,0,2,0,0,2,0,0,1,0,83.75638782410154,1999.4910429044546,1
0,0,1,0,26,1,0,1,0,0,0,0,2,2,0,0,3,90.7207024125804,2359.9062814162207,0
0,0,0,0,20,1,0,1,2,0,0,0,0,2,1,1,2,89.03486515731464,1784.519951475213,1
0,0,0,0,34,1,0,1,0,0,2,0,0,0,0,0,1,101.77907186579134,3456.4394736927666,0
1,1,0,0,33,1,2,2,1,1,1,1,1,1,1,1,0,32.150594020699195,1066.2744168198885,0
1,0,1,0,16,1,2,1,2,0,0,0,0,0,2,1,2,89.64786528878412,1432.3795752154829,1
1,0,1,1,31,1,0,1,0,0,0,0,0,0,0,1,0,75.99518731853234,2354.056850746941,1
1,1,0,0,13,1,0,0,0,0,0,0,2,0,0,0,3,87.79193194634037,1137.1162280482358,1
0,0,0,0,19,1,0,2,1,1,1,1,1,1,0,1,2,42.31249867230653,810.44571766114,0
1,0,1,1,16,1,0,0,2,0,0,0,0,2,2,1,2,80.95530144347921,1296.66983773273,0
0,0,1,0,0,1,2,1,0,0,0,0,0,2,1,0,2,114.66698483937141,15.73239629782792,1
1,0,1,1,4,1,2,0,0,2,0,0,2,2,0,1,0,87.29600371673561,361.8842636351863,0
0,0,1,0,1,1,2,0,0,2,2,2,0,2,2,1,2,114.76662397266,120.30437004836578,0
0,0,0,1,2,1,0,1,0,2,0,0,2,0,0,1,0,84.77443039125386,147.95444432150725,1
1,1,0,0,24,1,2,1,0,0,0,2,2,0,0,0,0,94.58305461035881,2255.150027528205,0
0,0,0,0,17,1,2,0,0,0,0,2,0,0,0,1,3,82.41218640092123,1410.869674543559,1
0,0,0,1,3,1,2,0,2,2,0,0,0,0,0,1,1,83.04664864621445,244.38356034339276,1
1,0,0,0,1,1,2,1,2,0,0,0,2,2,2,0,3,107.80786328891558,110.1563008656985,0
1,0,0,0,30,1,2,0,2,2,0,2,0,2,0,1,2,83.27106812556332,2491.8272897669026,0
0,0,0,0,30,1,2,0,0,0,0,0,0,2,0,0,1,107.97641329173406,3244.471265057184,0
1,0,0,0,11,1,0,0,2,0,0,0,0,0,0,1,2,83.04015896238363,923.0216480271649,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,1,1,0,38.425011801611184,295.3038170170333,0
0,0,1,0,26,1,0,0,0,0,0,2,0,0,2,1,1,90.41186130815433,2342.572679757137,0
1,0,0,0,20,1,0,0,2,0,0,2,0,0,0,0,3,77.01471606927316,1523.6570372521462,0
0,0,1,0,20,1,2,1,2,2,2,0,0,0,0,1,2,100.47593272849667,2011.8527276882212,1
1,0,1,1,23,1,0,0,0,0,2,0,0,2,0,1,2,76.78145405863532,1749.3206391403141,1
1,0,0,1,21,1,2,2,1,1,1,1,1,1,0,1,2,42.663137851463,892.2650779317365,0
0,0,0,1,3,1,2,0,2,2,0,0,0,0,0,1,1,77.092369524138,236.47322003774198,1
0,0,1,0,7,1,0,2,1,1,1,1,1,1,0,1,0,34.88570848099622,264.7808887137232,0
1,1,0,0,14,1,2,0,0,0,0,0,0,0,0,1,0,61.887247669934496,870.1056508019575,0
0,0,1,1,22,1,2,0,2,0,0,2,0,0,0,0,2,79.06871145450181,1752.0404994187888,0
0,0,1,0,15,1,0,0,0,0,0,2,2,0,1,1,2,77.4381566516778,1164.1639382007645,0
0,0,1,1,21,0,1,0,0,0,2,2,0,0,0,1,1,71.94666508077486,1513.9724007901223,0
1,0,0,1,4,1,0,0,2,0,0,0,0,2,2,0,2,89.72788143838467,356.8022967758067,0
1,1,0,1,39,1,0,0,0,0,0,0,0,2,2,0,1,84.41465052759335,3288.3386692471045,0
0,0,0,0,28,1,2,1,2,0,0,0,0,0,1,1,2,82.38800643705417,2318.607961752944,0
1,0,0,1,14,1,0,1,0,2,0,0,2,2,0,0,2,127.64284892023694,1790.746628411567,1
1,0,0,1,30,1,0,1,2,0,2,0,0,2,0,1,0,117.74122261306873,3535.5996418409077,0
1,0,1,0,35,1,2,2,1,1,1,1,1,1,1,0,2,28.37259719346785,986.9591491670642,0
1,0,1,0,34,1,0,1,2,0,0,0,2,0,0,1,2,97.68729043817926,3317.91745758381,0
0,0,0,1,17,1,2,1,0,2,0,0,2,2,1,1,0,106.84409504774611,1837.0245206414745,1
0,1,1,0,21,1,0,2,1,1,1,1,1,1,1,1,2,40.082670656393354,841.0610654799777,0
0,1,1,0,37,0,1,1,0,2,0,0,2,2,0,0,0,76.58347886349134,2846.8503985450993,0
0,0,0,0,37,1,0,1,2,2,0,2,0,0,0,1,3,104.70005941818148,3868.6996813593737,1
1,0,1,0,33,1,2,1,0,0,0,0,2,0,2,0,2,78.43876090444675,2596.4945515622253,1
0,0,0,0,13,1,2,0,2,2,0,0,2,0,0,1,3,106.07021311240982,1381.8107264497837,0
1,0,1,1,22,1,0,0,0,0,0,0,0,0,1,0,3,75.20050823429375,1650.3740501010313,0
0,0,0,0,39,1,2,1,0,2,2,2,0,2,0,1,0,106.64453600116765,4165.6225330309835,0
0,0,0,1,26,1,2,1,0,0,0,0,2,2,1,0,1,100.92248275640652,2608.550112577645,0
1,0,1,1,33,1,0,0,0,2,0,0,0,0,1,1,2,88.43293340041029,2924.0330165027513,0
1,0,1,1,36,1,2,0,0,2,0,0,0,0,2,0,3,78.47093295822691,2832.8226187152854,0
0,0,1,0,6,1,0,1,0,2,2,2,0,0,0,0,1,78.39966415427621,473.1287168067842,0
0,0,0,1,6,1,0,2,1,1,1,1,1,1,2,1,3,41.73276145982936,263.50580572401475,0
1,0,1,0,13,1,0,1,0,0,0,0,2,0,1,0,3,96.74459253971827,1256.998698469402,1
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,1,3,38.945265147569195,-1.4913918465115596,0
1,0,0,0,15,0,1,0,0,0,0,0,0,2,0,0,3,104.59132241951077,1572.4202315837415,0
0,0,1,1,29,1,0,0,2,0,2,2,0,2,0,0,3,100.89419318855663,2934.6086649953436,1
0,0,0,0,6,1,0,1,2,0,2,2,0,2,2,0,2,116.83805052396043,706.7267082882875,0
0,0,1,0,30,1,2,1,2,2,2,0,0,2,0,1,2,92.89302683419375,2784.5246742791865,1
0,0,0,0,15,1,2,2,1,1,1,1,1,1,0,0,0,38.828001130132954,572.4677385002078,0
0,0,1,1,11,0,1,1,0,0,2,0,0,0,1,1,1,78.71631907505234,872.514302385039,1
1,0,0,0,39,1,2,0,2,0,0,0,0,0,2,1,2,69.0788450199785,2686.17924303643,0
1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,3,39.698672163592974,1222.4760833917794,0
1,0,1,1,20,1,2,1,0,0,0,2,2,2,2,1,2,82.383473437483,1641.1230369892332,0
1,0,0,0,20,1,2,2,1,1,1,1,1,1,0,1,0,36.05471559873913,721.6714000423525,1
0,0,0,0,37,1,0,1,2,2,0,2,0,0,0,1,3,105.84017396626054,3908.1234721087344,1
1,1,1,0,14,0,1,1,2,0,0,0,2,0,0,1,2,77.40163258194941,1072.2659757794413,1
1,0,0,0,38,1,0,1,0,0,2,0,0,0,0,1,0,96.02011490553441,3642.1759469657295,1
0,0,0,1,8,1,0,1,0,0,2,0,0,2,1,1,3,102.46295662834764,817.8703349221721,0
1,0,1,0,35,1,2,2,1,1,1,1,1,1,0,1,0,34.302951782211316,1205.146157058847,0
1,0,1,1,4,1,0,2,1,1,1,1,1,1,2,0,2,31.88280650538346,128.20389512917126,0
0,0,0,0,15,1,2,2,1,1,1,1,1,1,0,0,0,35.740160568538826,525.2977875755936,0
0,0,0,0,11,0,1,1,2,2,2,0,0,0,0,1,0,73.09473365382642,806.3286915078013,1
1,0,1,0,9,1,2,1,0,0,0,0,0,0,0,1,2,103.47113582654742,934.4677776528869,1
0,1,0,0,10,0,1,1,0,0,0,2,0,2,0,1,0,66.65480230352925,661.9983911311471,1
0,0,1,1,24,1,0,2,1,1,1,1,1,1,1,0,2,41.84103972152409,996.2224927282986,0
1,0,0,0,2,1,0,1,0,0,0,0,2,0,1,1,2,88.07619375477681,168.1860859689298,1
1,0,0,0,23,1,0,2,1,1,1,1,1,1,0,0,2,36.40295880461035,831.9499293375826,1
1,0,0,0,5,1,0,1,2,0,2,0,0,2,1,1,2,80.653212369014,425.4084822094287,1
0,0,1,1,35,1,0,1,2,0,0,2,2,0,2,0,2,109.96398090565717,3839.8486076100958,0
1,1,1,0,31,0,1,2,1,1,1,1,1,1,0,1,0,22.132391667690264,688.764133370187,0
1,0,0,1,11,1,0,1,0,0,0,2,2,2,0,1,1,79.69022927886994,869.45149610384,1
0,0,1,0,14,1,0,2,1,1,1,1,1,1,1,0,1,38.670339102781796,536.324916281092,0
0,0,1,0,7,1,0,1,0,0,0,0,2,0,0,0,1,111.43917708661138,773.0128752123156,1
0,0,1,1,29,1,2,2,1,1,1,1,1,1,2,1,2,36.30077092842864,1060.7343807834964,0
1,0,0,0,34,1,0,1,0,2,2,0,0,2,0,1,0,106.66902980959568,3630.538091811686,0
1,0,0,0,20,1,0,1,0,0,0,0,2,0,2,1,3,115.54288246976198,2309.5642113838317,0
0,0,0,0,12,0,1,1,2,0,0,2,2,2,1,0,2,71.97500121119754,868.7293640008681,0
1,0,0,0,2,1,2,0,0,0,0,0,0,2,2,1,1,115.54376899792783,238.52219494859406,1
1,0,1,1,3,1,0,1,0,2,0,2,2,0,0,1,2,78.39782144922627,226.68631388366373,0
0,0,1,1,39,1,0,0,0,0,0,0,0,2,0,0,2,114.26772361615627,4461.913745161924,0
1,0,1,1,12,1,0,1,0,0,2,0,2,2,0,1,1,102.67133334225211,1224.879683262809,1
1,0,1,0,13,0,1,2,1,1,1,1,1,1,0,0,2,21.0077407406852,281.4799819008428,1
0,1,1,0,38,1,2,2,1,1,1,1,1,1,2,0,0,35.750970748699636,1365.9388732444518,0
1,0,1,0,13,1,2,1,2,0,2,0,2,2,2,0,2,97.58447383840141,1272.635190406186,0
0,0,1,1,14,1,0,0,0,2,0,0,2,2,0,1,1,88.1291693694225,1231.7091077596747,0
1,0,0,0,17,1,0,0,2,0,0,0,2,2,2,0,1,105.44548615289322,1787.3121719679737,0
0,0,0,1,17,1,0,0,0,2,0,0,2,0,2,0,1,87.9854756988555,1493.1167998938124,0
0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,1,2,69.14394599972026,629.9870616380176,1
1,0,1,1,38,1,2,2,1,1,1,1,1,1,0,1,3,34.053333129828445,1287.2033484768042,0
1,0,1,0,6,0,1,1,0,0,0,0,2,0,2,0,2,82.64740489317347,496.38114175874426,0
1,0,1,0,23,1,2,0,0,0,0,2,0,0,0,0,0,71.43481578087207,1625.52447126684,0
1,0,1,0,19,1,0,1,2,0,0,2,0,0,2,0,2,93.60408074176868,1781.081280678848,0
0,0,1,1,20,1,0,1,0,2,2,0,2,0,0,1,2,71.40952960176796,1417.8353078611497,1
0,1,0,0,36,1,0,1,0,0,0,0,2,0,0,0,2,93.19517678007414,3341.8449967643182,0
0,0,0,1,14,0,1,2,1,1,1,1,1,1,1,0,2,22.485897216760836,319.9897098540581,0
0,0,1,1,14,1,0,0,2,2,2,0,2,2,1,0,1,86.70305550667591,1215.9461523948007,0
0,0,1,0,36,1,0,0,2,0,2,0,2,0,0,0,0,115.4334221681615,4151.169423157334,0
1,1,0,1,29,1,2,2,1,1,1,1,1,1,0,0,3,34.25681596138112,990.4267061223595,0
0,0,0,0,13,1,0,1,0,0,0,0,2,0,1,0,2,95.48754749688155,1264.048455134027,1
0,0,1,0,5,1,0,0,0,0,2,0,0,2,1,0,2,74.92799435009258,372.69852882023326,0
1,0,0,1,20,1,0,0,2,0,0,0,2,0,2,1,3,104.27297777033037,2083.4473951238315,0
1,0,1,0,37,1,2,0,0,0,2,2,2,0,0,1,2,110.8617247509938,4108.406868578318,0
1,0,0,1,17,1,0,1,2,0,0,0,0,0,2,1,2,81.22321784368577,1381.6668267153416,1
